id,(Intercept),country_sampleAustralia,country_sampleGermany,country_sampleIsle of Man,country_sampleNew Zealand,country_sampleNot provided,country_sampleSweden,country_sampleUnited Kingdom
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;__,0.2938805505344692,0.3636518101837914,0.29388055053446815,0.2938805505344679,1.4621059975269082,0.29388055053446765,0.2938805505344678,0.3720157431863962
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_sp,0.31325636124332246,0.45138075319545407,0.3132563612433214,0.313256361243321,0.39842139126173837,0.31325636124332085,0.31325636124332107,0.3248110227299233
k__Fungi;__;__;__;__;__;__,0.3885648760687984,0.43811226725697006,0.38856487606879725,0.38856487606879675,0.7164664311743756,0.3885648760687964,0.3885648760687967,0.5505144710447587
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Pichia;s__Pichia_kudriavzevii,0.3418788553372783,0.6048176263768369,0.34187885533727724,0.3418788553372769,1.1234113415365854,0.3418788553372765,0.34187885533727685,0.4232777563946414
k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae;g__Mucor;s__Mucor_circinelloides,0.19820062364729207,0.3631046802902233,0.1982006236472914,0.19820062364729119,0.3631574103625724,0.19820062364729105,0.1982006236472912,0.21048660011839684
k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp,0.18696040906522465,0.3920522934315568,0.18696040906522407,0.18696040906522385,0.3832759027615627,0.18696040906522374,0.18696040906522393,0.25354939409072796
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;s__Saccharomyces_cerevisiae,0.3729649213090676,0.48445536372817305,0.37296492130906633,0.37296492130906594,2.0497601632893696,0.37296492130906567,0.37296492130906594,0.4653397779860107
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_sp,0.22317711802756213,0.5223946670182833,0.22317711802756135,0.2231771180275612,0.37736963775344,0.22317711802756102,0.22317711802756116,0.2501394851646362
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon;s__Trichosporon_asahii,0.31164588459302667,0.4527727599025251,0.31164588459302567,0.3116458845930252,2.530768802852742,0.3116458845930251,0.3116458845930253,0.42050160706077555
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;__,0.4337974538012214,0.4605129455590302,0.43379745380122,0.4337974538012195,0.9686029449708772,0.43379745380121915,0.4337974538012195,0.4574954238316566
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon;s__Trichosporon_ovoides,0.29123018853082505,0.40944315625715366,0.29123018853082416,0.29123018853082383,1.6001058252184983,0.2912301885308236,0.29123018853082383,0.4284740690252541
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_albicans,0.41027955738394584,0.6134873501943301,0.4102795573839445,0.41027955738394395,0.6765467085461284,0.41027955738394367,0.4102795573839439,0.5762679660468378
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Suhomyces;s__Suhomyces_kilbournensis,0.13357698036576734,0.1881321187914511,0.13357698036576676,0.1335769803657668,0.3323290946798235,0.13357698036576662,0.13357698036576673,0.2839544419066152
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_roqueforti,0.3682904156984119,0.45836578585801907,0.36829041569841076,0.36829041569841026,2.4003104836665634,0.36829041569841003,0.36829041569841026,0.5285811921210707
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_tropicalis,0.2632978304573267,0.37877426092472494,0.26329783045732585,0.2632978304573256,0.40239975771688663,0.26329783045732535,0.2632978304573256,0.27967042809157283
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_parapsilosis,0.3934068522803557,0.5618175780002572,0.3934068522803544,0.39340685228035405,2.172971854479719,0.39340685228035377,0.393406852280354,0.4673536301578959
